,audi,bmw,cadillac,honda,jaguar,lexus,lincoln,mercedes,tesla,toyota
audi, ,1.7215429122468662,3.319672131147541,1.6093307526434755,2.703161592505855,2.9257110408848503,4.272739291380224,6.307377049180327,0.6103913273400318,1.7934714293196463
bmw, , ,1.7446153846153845,1.090370094154936,2.069243697478992,2.0505457122608077,1.6937760910815942,3.621176470588236,0.6424667931688806,1.2726179289607218
cadillac, , , ,1.8168962574667809,6.230769230769232,5.1797961075069505,7.637717121588088,24.923076923076927,0.8039702233250622,2.468419759154583
honda, , , , ,0.6968530676930041,1.9100490710862463,1.7308931036245585,9.75594294770206,2.2029548591585293,3.335098707361407
jaguar, , , , , ,3.9733218588640287,10.63824884792627,219.8571428571429,3.5460829493087562,4.916932907348243
lexus, , , , , , ,5.682277497085114,18.542168674698793,0.8972017100660706,4.383771507756265
lincoln, , , , , , , ,99.29032258064514,3.2029136316337152,2.5377718231474806
mercedes, , , , , , , , ,99.29032258064514,19.66773162939297
tesla, , , , , , , , , ,4.758322168401525
toyota, , , , , , , , , , 
